epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,142.015,0.63216,0.42992,0.83769,0.99887,1,0.995,0.78412,0.77108,0.37311,0.93716,0.0003995,0.0003995,0.0003995
99,143.377,0.59178,0.42166,0.81973,0.99913,1,0.995,0.79017,0.79093,0.38344,0.93778,0.000383,0.000383,0.000383
100,144.747,0.6013,0.43745,0.83934,0.99911,1,0.995,0.77232,0.78848,0.39772,0.93837,0.0003665,0.0003665,0.0003665
101,146.13,0.57876,0.40497,0.82724,0.99898,1,0.995,0.77985,0.79541,0.39896,0.93572,0.00035,0.00035,0.00035
102,147.562,0.63007,0.4566,0.86227,0.99874,1,0.995,0.77821,0.80478,0.3907,0.94055,0.0003335,0.0003335,0.0003335
103,149.129,0.57326,0.40876,0.83031,0.99861,1,0.995,0.78645,0.81415,0.38461,0.93941,0.000317,0.000317,0.000317
104,150.473,0.60375,0.4176,0.79609,0.99859,1,0.995,0.78779,0.7795,0.38064,0.93813,0.0003005,0.0003005,0.0003005
105,151.835,0.57828,0.412,0.8211,0.9986,1,0.995,0.78829,0.74254,0.36478,0.92825,0.000284,0.000284,0.000284
106,153.24,0.57159,0.41222,0.82517,0.99876,1,0.995,0.79739,0.74913,0.36738,0.92822,0.0002675,0.0002675,0.0002675
107,154.579,0.53455,0.39378,0.82596,0.99904,1,0.995,0.79863,0.77217,0.37378,0.93108,0.000251,0.000251,0.000251
108,155.948,0.5706,0.40041,0.8256,0.99911,1,0.995,0.80223,0.79677,0.38848,0.9372,0.0002345,0.0002345,0.0002345
109,157.324,0.58855,0.4293,0.80443,0.99905,1,0.995,0.81077,0.7703,0.38582,0.93246,0.000218,0.000218,0.000218
110,158.742,0.57451,0.42053,0.82006,0.99914,1,0.995,0.80702,0.75011,0.38243,0.92803,0.0002015,0.0002015,0.0002015
111,164.146,0.56538,0.42135,0.84576,0.99913,1,0.995,0.80597,0.73617,0.3828,0.92461,0.000185,0.000185,0.000185
112,166.072,0.51778,0.41743,0.8143,0.99941,1,0.995,0.79468,0.73572,0.38499,0.92643,0.0001685,0.0001685,0.0001685
113,167.658,0.54186,0.40827,0.79506,1,0.99978,0.995,0.79195,0.75043,0.38662,0.92961,0.000152,0.000152,0.000152
114,169.013,0.48353,0.40354,0.82052,1,0.99928,0.995,0.79212,0.73798,0.38648,0.92677,0.0001355,0.0001355,0.0001355
115,170.439,0.52995,0.40426,0.84266,1,0.99865,0.995,0.79063,0.73051,0.37718,0.92324,0.000119,0.000119,0.000119
116,171.876,0.50959,0.40478,0.82626,1,0.99785,0.995,0.78978,0.7336,0.37788,0.92558,0.0001025,0.0001025,0.0001025
117,173.254,0.52087,0.40394,0.80594,1,0.99738,0.995,0.78062,0.75569,0.375,0.93289,8.6e-05,8.6e-05,8.6e-05
118,174.619,0.52025,0.40758,0.82616,0.99879,0.97436,0.9945,0.78366,0.76131,0.36971,0.93603,6.95e-05,6.95e-05,6.95e-05
119,176.332,0.51266,0.40976,0.83142,1,0.99771,0.995,0.79933,0.74845,0.36838,0.93437,5.3e-05,5.3e-05,5.3e-05
120,177.695,0.52342,0.41785,0.78185,1,0.99773,0.995,0.79891,0.74295,0.36181,0.93175,3.65e-05,3.65e-05,3.65e-05
